model,n,r2,adj_r2,const,const_se_hc3,const_p_hc3,Mkt_RF,Mkt_RF_se_hc3,Mkt_RF_p_hc3,ticker,return_type,window,SMB,SMB_se_hc3,SMB_p_hc3,HML,HML_se_hc3,HML_p_hc3,RMW,RMW_se_hc3,RMW_p_hc3,CMA,CMA_se_hc3,CMA_p_hc3
FF3,19,0.46272654754532394,0.3552718570543888,0.008900986978553285,0.022196112502654488,0.6884086515993146,0.8148643060061602,0.34373607801619216,0.01775874160068776,MSFT,dividend_inclusive_approx,19m_2025-01_to_2026-07,-1.1533388054315383,0.9998147839901413,0.24868369756385822,-1.1408980947670702,0.872454178899555,0.19097906395336695,,,,,,
FF5,19,0.7979709228853703,0.7202674316874358,0.0287546045437098,0.02503765285333468,0.250780995023248,1.0321932216614331,0.3780651405004747,0.0063296027086633,MSFT,dividend_inclusive_approx,19m_2025-01_to_2026-07,-0.8687667150638643,0.6325470738211093,0.169614981990863,-2.0426322508168604,0.5461420828808045,0.000183938688202972,1.6366997780699746,1.037423971712565,0.11464429978975495,-0.030953107047004935,0.6278912507307358,0.9606826711116594
CAPM,31,0.14238603911106684,0.11281314390800012,0.014687119783071318,0.010587907610696829,0.16539304114967368,0.6306139065148721,0.326543538530679,0.05346096460119526,WMT,price,31m_2024-01_to_2026-07,,,,,,,,,,,,
FF3,31,0.14471540322043808,0.049683781356042234,0.014481910185472145,0.01264669666970849,0.25216191142916167,0.6433238762335036,0.38626417991919554,0.09581258712085104,WMT,price,31m_2024-01_to_2026-07,0.051291198112798544,0.3948240011282336,0.8966384097357986,0.06073056563050167,0.42212481520606515,0.8856041200651077,,,,,,
FF5,31,0.22750728269262732,0.07300873923115281,0.014987901297359552,0.014798981705392837,0.3111720802729143,0.7171357053229156,0.41191940745121,0.08169038012473621,WMT,price,31m_2024-01_to_2026-07,0.13312873431674754,0.44906149183185246,0.7668788704908802,0.07639537436175338,0.5179001484040457,0.8827296038406495,0.5664329755974025,0.7385232556586006,0.44309307753741434,-0.4266279842619022,0.6965106351976666,0.5401925447458865
CAPM,31,0.14258709085711097,0.11302112847287338,0.015528652477728293,0.010505213818119068,0.13935819153315626,0.6289418435535428,0.3233615112681313,0.051773599639094406,WMT,dividend_inclusive_approx,31m_2024-01_to_2026-07,,,,,,,,,,,,
FF3,31,0.14492051879300916,0.049911687547787964,0.015206350480188027,0.012568020526248894,0.22630803214841078,0.6456409739554749,0.38255111727612057,0.09146408590221489,WMT,dividend_inclusive_approx,31m_2024-01_to_2026-07,0.04252040834537593,0.3935225863650848,0.9139554396873442,0.06975585280065472,0.41750639451102406,0.8673092049210205,,,,,,
FF5,31,0.2296657019349312,0.07559884232191749,0.015724321561883286,0.014750245947473997,0.2864064990241709,0.7202844119273583,0.4076016422350247,0.07720673792695527,WMT,dividend_inclusive_approx,31m_2024-01_to_2026-07,0.12523332947863913,0.4445327783222022,0.7781589849592336,0.08443719038787428,0.5071398219603827,0.8677659502394521,0.571445255591535,0.7434564623472779,0.4421111418635717,-0.4279036854859843,0.6887778753601126,0.5344347349686673
CAPM,19,0.04555564617806407,-0.010588139340873326,0.005820452413134357,0.016875039196423063,0.7301583505923939,0.3469013441885304,0.46552946847650695,0.45616538541448304,WMT,price,19m_2025-01_to_2026-07,,,,,,,,,,,,
FF3,19,0.07533040961600734,-0.10960350846079114,0.0003319944755593128,0.03294259256395035,0.991959079059356,0.5144448610715681,0.8198979596899566,0.5303643923516816,WMT,price,19m_2025-01_to_2026-07,0.145564238953666,0.6573581445273866,0.8247512102307373,0.3802361401897508,1.2238937474697986,0.7560458718310602,,,,,,
